Script,subject,Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy
LTLN,2,11,2.479743730744537,0.452774693877551,0.6980208439826965,0.8269942857142857
LTLN,2,12,0.7990502921707776,0.755258775510204,0.1761873341727824,0.9617676190476192
LTLN,2,13,0.4058901197861652,0.8712351020408163,0.0773794974383144,0.9843790476190476
LTLN,2,14,0.2663198260561544,0.9143844897959184,0.0468060923749137,0.9909428571428572
LTLN,2,15,0.1955043942012957,0.9367951020408164,0.0306481582291779,0.9941638095238096
LTLN,2,16,0.1530319342564563,0.9505632653061225,0.0226465127741297,0.9958609523809524
LTLN,2,17,0.1255098361286277,0.9593820408163264,0.0173323243503414,0.9967771428571428
LTLN,2,18,0.1060065946023987,0.9655183673469389,0.0141602703485017,0.9974457142857144
LTLN,2,19,0.0917441343358736,0.970273469387755,0.0111090408349853,0.9980476190476192
LTLN,2,20,0.0793388049595666,0.9744179591836736,0.0093315704863939,0.9983466666666668
