Script,subject,Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy
LTBR,0,11,3.151436139622513,0.4019142857142857,2.046377707594917,0.5576514285714286
LTBR,0,12,1.8318707985829337,0.5403289795918368,0.773041631596429,0.8120895238095238
LTBR,0,13,0.9318295488527842,0.7229436734693877,0.2749748627557641,0.9373276190476192
LTBR,0,14,0.5272374769291099,0.8351485714285715,0.1258048764871699,0.9744666666666668
LTBR,0,15,0.3474107888876175,0.8895265306122448,0.071225790453099,0.9863790476190476
LTBR,0,16,0.2524048807426375,0.9190555102040816,0.0466517106668934,0.9907009523809523
LTBR,0,17,0.196063239925674,0.9371183673469388,0.0337226070751923,0.993415238095238
LTBR,0,18,0.1596468082642068,0.9487853061224488,0.0256090794343146,0.9950914285714286
LTBR,0,19,0.1334271978977687,0.9567191836734694,0.0195091884692332,0.9965161904761904
LTBR,0,20,0.1142607934598107,0.9631730612244898,0.0167592377356874,0.996672380952381
